"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R12,R20,R3,R25,R2,R4,R13,R17,R8,R21,R24,R7,R16";"R_1206_3216Metric";14;"10k";;;
2;"J15,J17,J2,J9,J13,J5,J12";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";7;"Screw_Terminal_01x02";;;
3;"C9,C25,C4,C12,C24,C13,C3,C18,C16";"C_0805_2012Metric";9;"0.1uF";;;
4;"R9,R22";"R_1206_3216Metric";2;"22k";;;
5;"IC2,IC5";"21-0041B_8_MXM";2;"MAX7403CSA+";;;
6;"SD1";"CUI_MSD-4-A";1;"MSD-4-A";;;
7;"J18";"TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal";1;"Screw_Terminal_01x06";;;
8;"J7";"PinSocket_1x12_P2.54mm_Vertical";1;"Conn_01x12_Socket";;;
9;"R19,R26";"R_1206_3216Metric";2;"3.3k";;;
10;"R23,R10";"R_1206_3216Metric";2;"6.2k";;;
11;"C8,C20,C15,C22,C23,C6,C7,C1,C21,C2,C10,C11";"C_0805_2012Metric";12;"10uF";;;
12;"J8,J10";"TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal";2;"Screw_Terminal_01x04";;;
13;"C17";"CP_Radial_D8.0mm_P5.00mm";1;"1000uF";;;
14;"IC3,IC4,IC1";"D8";3;"LMV358IDR";;;
15;"RN3";"RESCAF80P320X160X60-8N";1;"CAY16-103J4LF";;;
16;"J14,J23,J22,J19,J20,J24,J21";"CONN1_RCU-0C_TEC";7;"RCU-0C";;;
17;"C19";"C_0805_2012Metric";1;"6.8nF";;;
18;"R15,R18";"R_1206_3216Metric";2;"1.5k";;;
19;"R6";"R_1206_3216Metric";1;"5k";;;
20;"C14,C5";"C_0805_2012Metric";2;"100pF";;;
21;"U2";"21-0041B_8_MXM";1;"MAX7480ESA+";;;
22;"J11";"TerminalBlock_TE_282834-5_1x05_P2.54mm_Horizontal";1;"Screw_Terminal_01x05";;;
23;"RN1,RN2";"RESCAF80P320X160X60-8N";2;"CAY16-473J4LF";;;
24;"R11,R14";"R_1206_3216Metric";2;"150";;;
25;"U1";"D14";1;"SN74AHCT125DR";;;
26;"R5";"R_1206_3216Metric";1;"7.5k";;;
27;"J6";"PinSocket_1x16_P2.54mm_Vertical";1;"Conn_01x16_Socket";;;
28;"J16,J4,J1,J3";"TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal";4;"Screw_Terminal_01x03";;;
